id,ra,dec,redshift,redshiftError,class,run,camcol,field
3668305673491423232,160.41878,45.732693,-8.130122E-05,7.729494E-06,STAR,3698,6,57
2879094906926688256,160.22697,45.042376,-5.213116E-05,8.582824E-06,STAR,3530,4,272
1611322795831093248,160.18529,45.166654,0.3628279,0.0001022353,GALAXY,3530,4,272
2890350607477008384,160.16241,45.070504,-0.0003616039,1.131129E-05,STAR,3530,4,272
3668296327642587136,160.15862,45.36364,-0.0004793593,3.345016E-05,STAR,3698,5,55
1611317023395047424,160.1524,45.310817,0.08872616,7.842081E-06,GALAXY,3698,5,55
3668295777886773248,160.24413,45.346107,-4.470847E-05,2.132636E-05,STAR,3698,5,55
5280623215172386816,160.15828,45.157654,0.5424947,0.0001473378,GALAXY,3530,4,272
5280622115660759040,160.09212,45.066839,0.4940425,0.0001752641,GALAXY,3530,4,271
5281869511568916480,160.10011,45.013013,0.4879676,0.0003221046,GALAXY,3530,4,271
1614638374168061952,160.69191,45.235637,6.952022E-05,8.957383E-06,STAR,3530,4,274
3668282583747239936,160.01242,45.478619,-0.0001103717,9.669026E-06,STAR,3530,5,272
1611329118022952960,160.4163,45.905178,1.585878,0.0003633911,QSO,3530,6,274
3668294128619331584,160.24461,45.454327,0.0002716496,1.564421E-05,STAR,3530,5,273
5280631461509595136,160.51901,45.466575,0.6288258,0.0001537787,GALAXY,3530,5,274
5280645205404942336,160.61546,45.095299,0.4958903,0.0001453081,GALAXY,3530,4,274
3668284507892588544,160.07468,45.46553,-4.412255E-05,8.461721E-06,STAR,3530,5,272
1611315923883419648,160.04801,45.023326,0.07382324,6.60731E-06,GALAXY,3530,4,271
1614636450022713344,160.92627,45.732789,0.3288713,7.089852E-05,GALAXY,3530,5,276
3668303749346074624,160.62532,45.148853,0.0001469003,1.497808E-05,STAR,3530,4,274
5280632835899129856,160.43363,45.034062,0.6088371,0.0001547195,GALAXY,3530,4,273
5280646030038663168,160.76944,45.083267,0.5761454,4.853016E-05,QSO,3530,4,274
5280632286143315968,160.38314,45.013406,0.0003143197,5.358813E-05,STAR,3530,4,272
3668293029107703808,160.34436,45.571762,0.0003843714,4.675353E-05,STAR,3530,5,273
3668305948369330176,160.93721,45.215118,2.314395E-05,7.743906E-06,STAR,3530,4,275
5280655101009592320,160.94546,45.13377,0.5417743,0.000150421,GALAXY,3530,4,275
3668296877398401024,160.29625,45.134659,-0.0002337303,2.998642E-05,STAR,3530,4,272
1611319772174116864,160.07508,45.949212,0.175273,1.19449E-05,GALAXY,3059,1,39
5280624589561921536,160.11262,45.006691,0.5828604,0.0001140747,GALAXY,3530,4,271
5280653726620057600,160.98771,45.286742,0.3149876,6.337398E-05,GALAXY,3530,4,276
5280632011265409024,160.43023,45.101743,0.4961433,0.0001011456,GALAXY,3530,4,273
3668306498125144064,160.63979,45.192013,1.683523E-05,7.243388E-06,STAR,3530,4,274
5280641631992152064,160.59263,45.143569,0.4939861,0.0001374406,GALAXY,3530,4,274
2879101229118547968,160.30833,45.012312,-0.0001327489,6.756422E-06,STAR,3530,4,272
5280653451742150656,160.94919,45.286156,0.4810416,0.000105061,GALAXY,3530,4,276
5280621016149131264,160.01084,45.008269,0.4971754,0.0001255384,GALAXY,3530,4,271
